date,price,open,high,low,vol,change
2022-11-04,1676.60 ,1631.70 ,1686.40 ,1631.10 ,293.52K,2.80%
2022-11-03,1630.90 ,1639.10 ,1643.20 ,1618.30 ,254.70K,-1.16%
2022-11-02,1650.00 ,1651.40 ,1673.10 ,1637.40 ,220.93K,0.02%
2022-11-01,1649.70 ,1636.10 ,1660.30 ,1633.60 ,197.98K,0.55%
2022-10-31,1640.70 ,1647.20 ,1648.50 ,1634.50 ,128.41K,-0.25%
2022-10-28,1644.80 ,1667.20 ,1670.90 ,1640.70 ,196.36K,-0.93%
2022-10-27,1660.30 ,1664.10 ,1669.20 ,1654.40 ,2.30K,-0.25%
2022-10-26,1664.40 ,1652.30 ,1674.00 ,1652.30 ,0.32K,0.67%
2022-10-25,1653.30 ,1649.60 ,1660.50 ,1637.00 ,0.59K,0.25%
2022-10-24,1649.20 ,1662.00 ,1666.30 ,1643.60 ,0.15K,-0.14%
2022-10-21,1651.50 ,1626.10 ,1657.20 ,1618.10 ,0.64K,1.21%
2022-10-20,1631.80 ,1628.90 ,1644.30 ,1621.20 ,0.50K,0.17%
2022-10-19,1629.00 ,1652.40 ,1654.00 ,1628.00 ,0.30K,-1.31%
2022-10-18,1650.70 ,1651.00 ,1660.40 ,1647.00 ,0.72K,-0.49%
2022-10-17,1658.90 ,1646.30 ,1667.60 ,1645.20 ,0.60K,0.92%
2022-10-14,1643.70 ,1665.60 ,1672.10 ,1640.80 ,0.64K,-1.99%
2022-10-13,1677.00 ,1680.20 ,1688.90 ,1648.30 ,237.01K,-0.03%
2022-10-12,1677.50 ,1673.40 ,1685.10 ,1668.00 ,131.77K,-0.50%
2022-10-11,1686.00 ,1675.60 ,1691.30 ,1667.50 ,171.81K,0.64%
2022-10-10,1675.20 ,1703.40 ,1707.40 ,1672.50 ,157.15K,-1.99%
2022-10-07,1709.30 ,1721.00 ,1722.80 ,1698.40 ,157.45K,-0.67%
2022-10-06,1720.80 ,1725.50 ,1734.20 ,1714.80 ,139.44K,0.00%
2022-10-05,1720.80 ,1734.40 ,1736.60 ,1708.80 ,173.22K,-0.56%
2022-10-04,1730.50 ,1708.40 ,1738.70 ,1704.00 ,205.08K,1.67%
2022-10-03,1702.00 ,1670.50 ,1710.40 ,1666.50 ,215.49K,1.79%
2022-09-30,1672.00 ,1669.50 ,1684.40 ,1667.50 ,179.99K,0.20%
2022-09-29,1668.60 ,1669.00 ,1673.10 ,1649.30 ,201.96K,0.21%
2022-09-28,1665.10 ,1631.40 ,1666.00 ,1618.00 ,1.90K,2.08%
2022-09-27,1631.10 ,1626.70 ,1643.50 ,1626.70 ,0.83K,0.18%
2022-09-26,1628.20 ,1643.00 ,1651.00 ,1623.20 ,0.64K,-1.32%
